ward	chome	建物倒壊危険度	火災危険度	総合危険度
千代田区	飯田橋１丁目	1	2	1
千代田区	飯田橋２丁目	1	1	1
千代田区	飯田橋３丁目	1	1	1
千代田区	飯田橋４丁目	1	2	2
千代田区	一番町	1	1	1
千代田区	岩本町１丁目	1	2	2
千代田区	岩本町２丁目	1	1	1
千代田区	岩本町３丁目	1	1	1
千代田区	内神田１丁目	1	2	2
千代田区	内神田２丁目	2	2	2
千代田区	内神田３丁目	1	1	1
千代田区	内幸町１丁目	1	1	1
千代田区	内幸町２丁目	1	1	1
千代田区	大手町１丁目	1	1	1
千代田区	大手町２丁目	1	1	1
千代田区	鍛冶町１丁目	1	2	2
千代田区	鍛冶町２丁目	1	1	1
千代田区	霞が関１丁目	1	1	1
千代田区	霞が関２丁目	1	1	1
千代田区	霞が関３丁目	1	1	1
千代田区	神田相生町	1	1	1
千代田区	神田淡路町１丁目	1	1	1
千代田区	神田淡路町２丁目	1	1	1
千代田区	神田和泉町	2	2	3
千代田区	神田岩本町	1	1	1
千代田区	神田小川町１丁目	1	1	1
千代田区	神田小川町２丁目	1	1	1
千代田区	神田小川町３丁目	1	1	1
千代田区	神田鍛冶町３丁目	1	1	1
千代田区	神田北乗物町	1	1	1
千代田区	神田紺屋町	2	2	2
千代田区	神田佐久間河岸	1	1	1
千代田区	神田佐久間町１丁目	1	1	1
千代田区	神田佐久間町２丁目	2	2	2
千代田区	神田佐久間町３丁目	2	2	2
千代田区	神田佐久間町４丁目	1	1	1
千代田区	神田神保町１丁目	1	1	1
千代田区	神田神保町２丁目	1	2	1
千代田区	神田神保町３丁目	1	1	1
千代田区	神田須田町１丁目	1	2	1
千代田区	神田須田町２丁目	1	1	1
千代田区	神田駿河台１丁目	1	1	1
千代田区	神田駿河台２丁目	1	1	1
千代田区	神田駿河台３丁目	1	1	1
千代田区	神田駿河台４丁目	1	1	1
千代田区	神田多町２丁目	2	2	2
千代田区	神田司町２丁目	1	1	1
千代田区	神田富山町	1	1	1
千代田区	神田錦町１丁目	1	1	1
千代田区	神田錦町２丁目	1	1	1
千代田区	神田錦町３丁目	1	1	1
千代田区	神田西福田町	1	1	1
千代田区	神田練塀町	2	2	2
千代田区	神田花岡町	1	1	1
千代田区	神田東紺屋町	1	1	1
千代田区	神田東松下町	1	1	1
千代田区	神田平河町	1	1	1
千代田区	神田松永町	1	1	1
千代田区	神田美倉町	1	2	1
千代田区	神田美土代町	1	1	1
千代田区	紀尾井町	1	1	1
千代田区	北の丸公園	1	1	1
千代田区	九段北１丁目	1	2	1
千代田区	九段北２丁目	1	1	1
千代田区	九段北３丁目	1	1	1
千代田区	九段北４丁目	1	1	1
千代田区	九段南１丁目	1	1	1
千代田区	九段南２丁目	1	1	1
千代田区	九段南３丁目	1	1	1
千代田区	九段南４丁目	1	1	1
千代田区	皇居外苑	1	1	1
千代田区	麹町１丁目	1	1	1
千代田区	麹町２丁目	1	1	1
千代田区	麹町３丁目	1	1	1
千代田区	麹町４丁目	1	1	1
千代田区	麹町５丁目	1	1	1
千代田区	麹町６丁目	1	1	1
千代田区	五番町	1	1	1
千代田区	猿楽町１丁目	1	1	1
千代田区	猿楽町２丁目	1	1	1
千代田区	三番町	1	1	1
千代田区	外神田１丁目	1	1	1
千代田区	外神田２丁目	2	2	2
千代田区	外神田３丁目	1	1	1
千代田区	外神田４丁目	1	1	1
千代田区	外神田５丁目	1	1	1
千代田区	外神田６丁目	2	1	2
千代田区	千代田	1	1	1
千代田区	永田町１丁目	1	1	1
千代田区	永田町２丁目	1	1	1
千代田区	西神田１丁目	1	1	1
千代田区	西神田２丁目	1	1	1
千代田区	西神田３丁目	1	1	1
千代田区	二番町	1	1	1
千代田区	隼町	1	1	1
千代田区	東神田１丁目	1	1	1
千代田区	東神田２丁目	2	2	2
千代田区	東神田３丁目	1	1	1
千代田区	一ツ橋１丁目	1	1	1
千代田区	一ツ橋２丁目	1	1	1
千代田区	日比谷公園	1	1	1
千代田区	平河町１丁目	1	1	1
千代田区	平河町２丁目	1	1	1
千代田区	富士見１丁目	1	1	1
千代田区	富士見２丁目	1	1	1
千代田区	丸の内１丁目	1	1	1
千代田区	丸の内２丁目	1	1	1
千代田区	丸の内３丁目	1	1	1
